Number xind yind east north data err wgt Elos Nlos Ulos
********************************************************
   1  264  216 129.018791989035 41.347593844325 0.506005 0.40285 106717 -0.60896 0.10814 -0.78579
   2  184  548 129.013236433435 41.324538288585 -0.033296 0.24774  17133 -0.60896 0.10814 -0.78579
   3  139  758 129.010111433410 41.309954955135 -0.428685 0.28806  26905 -0.60893 0.10814 -0.78582
   4  330  702 129.023375322405 41.313843844055 0.004328 0.29195  14127 -0.60796 0.10806 -0.78658
   5  330  810 129.023375322405 41.306343843995 -0.129381 0.29554  13683 -0.60779 0.10804 -0.78672
   6  429  783 129.030250322460 41.308218844010 0.456087 0.46030   3414 -0.60725 0.10799 -0.78714
   7  429  837 129.030250322460 41.304468843980 1.150504 0.42743   3405 -0.60721 0.10799 -0.78717
   8  495  837 129.034833655830 41.304468843980 0.564084 0.31439   3371 -0.60689 0.10796 -0.78742
   9  467  760 129.032889211370 41.309816066245 1.860301 0.36143     63 -0.60708 0.10798 -0.78727
  10  471  777 129.033166989150 41.308635510680 -0.214823 0.31773    172 -0.60705 0.10797 -0.78730
  11  487  777 129.034278100270 41.308635510680 -0.348001 0.33304    168 -0.60697 0.10797 -0.78736
  12  487  763 129.034278100270 41.309607732910 0.732054 0.42095    205 -0.60698 0.10797 -0.78735
  13  479  797 129.033722544710 41.307246621780 -0.237360 0.24586    883 -0.60699 0.10797 -0.78734
  14  512  797 129.036014211395 41.307246621780 -0.035410 0.18264    891 -0.60683 0.10796 -0.78747
  15  512  770 129.036014211395 41.309121621795 -0.851913 0.47888    814 -0.60684 0.10796 -0.78745
  16  429  675 129.030250322460 41.315718844070 0.181806 0.34894   3372 -0.60738 0.10800 -0.78704
  17  429  729 129.030250322460 41.311968844040 -0.230882 0.30717   3331 -0.60732 0.10799 -0.78709
  18  473  725 129.033305878040 41.312246621820 0.385471 0.26544     12 -0.60709 0.10798 -0.78726
  19  473  728 129.033305878040 41.312038288485 0.125665 0.30570     12 -0.60709 0.10798 -0.78727
  20  477  728 129.033583655820 41.312038288485 0.064795 0.21235     12 -0.60707 0.10797 -0.78728
  21  477  725 129.033583655820 41.312246621820 0.428491 0.16778     12 -0.60707 0.10797 -0.78728
  22  483  720 129.034000322490 41.312593844045 -0.328459 0.40522     56 -0.60704 0.10797 -0.78730
  23  483  726 129.034000322490 41.312177177375 0.177463 0.35502     47 -0.60704 0.10797 -0.78730
  24  491  726 129.034555878050 41.312177177375 0.697657 0.34456     46 -0.60699 0.10797 -0.78734
  25  491  720 129.034555878050 41.312593844045 -0.911283 0.37109     55 -0.60700 0.10797 -0.78733
  26  491  713 129.034555878050 41.313079955160 -1.408330 0.42390     53 -0.60701 0.10797 -0.78733
  27  467  733 129.032889211370 41.311691066260 0.500129 0.49951     58 -0.60711 0.10798 -0.78725
  28  467  753 129.032889211370 41.310302177360 1.553582 0.41335     54 -0.60709 0.10798 -0.78726
  29  504  750 129.035458655835 41.310510510695 0.612513 0.49190    126 -0.60690 0.10796 -0.78741
  30  500  706 129.035180878055 41.313566066275 -1.090345 0.43821     63 -0.60697 0.10797 -0.78736
  31  500  713 129.035180878055 41.313079955160 -1.037791 0.35534     63 -0.60696 0.10797 -0.78736
  32  506  711 129.035597544725 41.313218844050 -0.476336 0.17804     16 -0.60693 0.10796 -0.78739
  33  506  715 129.035597544725 41.312941066270 -0.455061 0.26432     12 -0.60693 0.10796 -0.78739
  34  510  715 129.035875322505 41.312941066270 0.185331 0.16980     12 -0.60691 0.10796 -0.78741
  35  510  711 129.035875322505 41.313218844050 -0.587254 0.24162     16 -0.60691 0.10796 -0.78740
  36  508  706 129.035736433615 41.313566066275 -1.244253 0.43384     56 -0.60693 0.10796 -0.78739
  37  500  720 129.035180878055 41.312593844045 -0.287867 0.37658     63 -0.60695 0.10796 -0.78737
  38  508  720 129.035736433615 41.312593844045 0.050718 0.39276     54 -0.60691 0.10796 -0.78740
  39  520  723 129.036569766955 41.312385510710 -0.401626 0.41034    127 -0.60685 0.10796 -0.78745
  40  520  709 129.036569766955 41.313357732940 -1.340999 0.44891    218 -0.60686 0.10796 -0.78744
  41  473  698 129.033305878040 41.314121621835 1.624567 0.38817     11 -0.60712 0.10798 -0.78724
  42  473  700 129.033305878040 41.313982732945 2.143065 0.45066     11 -0.60712 0.10798 -0.78724
  43  477  701 129.033583655820 41.313913288500 2.080476 0.36327     12 -0.60710 0.10798 -0.78726
  44  477  698 129.033583655820 41.314121621835 1.654018 0.31863     12 -0.60710 0.10798 -0.78725
  45  500  679 129.035180878055 41.315441066290 -1.162233 0.36638     63 -0.60699 0.10797 -0.78734
