Number xind yind east north data err wgt Elos Nlos Ulos
********************************************************
   1  257  229 129.018028077920 41.346413266540 1.030372 0.46437  91436 0.55137 0.10263 -0.82793
   2  257  642 129.018028077920 41.317732710755 0.564476 0.46931 162276 0.55074 0.10256 -0.82835
   3  642  535 129.044764189245 41.325163266370 -0.241351 0.28803  54899 0.55285 0.10276 -0.82692
   4  530  656 129.036986411405 41.316760488525 0.819560 0.13185    891 0.55218 0.10270 -0.82737
   5  530  683 129.036986411405 41.314885488510 1.097923 0.16147    891 0.55216 0.10270 -0.82739
   6  562  683 129.039208633645 41.314885488510 2.669353 0.23690    864 0.55235 0.10272 -0.82726
   7  562  656 129.039208633645 41.316760488525 1.084336 0.41761    836 0.55237 0.10272 -0.82724
   8  546  723 129.038097522525 41.312107710710 0.817153 0.13814   3445 0.55221 0.10271 -0.82735
   9  610  723 129.042541967005 41.312107710710 1.401610 0.33204   3386 0.55259 0.10275 -0.82709
  10  594  656 129.041430855885 41.316760488525 2.350131 0.32733    863 0.55256 0.10274 -0.82712
  11  594  683 129.041430855885 41.314885488510 3.806372 0.25631    864 0.55254 0.10274 -0.82713
  12  626  683 129.043653078125 41.314885488510 3.003496 0.22599    864 0.55270 0.10276 -0.82702
  13  626  656 129.043653078125 41.316760488525 1.983759 0.27389    864 0.55272 0.10276 -0.82701
  14  578  802 129.040319744765 41.306621599555 0.350999 0.30439  13599 0.55234 0.10273 -0.82727
  15  706  802 129.049208633725 41.306621599555 -1.772631 0.32199  13533 0.55302 0.10279 -0.82680
  16  706  696 129.049208633725 41.313982710725 -1.080911 0.45427  13637 0.55307 0.10279 -0.82677
  17  802  669 129.055875300445 41.315857710740 -3.511935 0.21700   3456 0.55368 0.10286 -0.82635
  18  786  710 129.054764189325 41.313010488495 -4.605577 0.26741    864 0.55354 0.10284 -0.82645
  19  778  730 129.054208633765 41.311621599595 -7.125687 0.32667    208 0.55345 0.10283 -0.82651
  20  778  743 129.054208633765 41.310718821810 -6.767845 0.30480    208 0.55342 0.10283 -0.82653
  21  794  743 129.055319744885 41.310718821810 -9.948991 0.27540    208 0.55351 0.10284 -0.82647
  22  794  730 129.055319744885 41.311621599595 -8.788990 0.23019    208 0.55354 0.10284 -0.82645
  23  818  736 129.056986411565 41.311204932925 -10.009232 0.42815    832 0.55369 0.10286 -0.82635
  24  818  710 129.056986411565 41.313010488495 -5.439619 0.42474    864 0.55376 0.10287 -0.82630
  25  850  710 129.059208633805 41.313010488495 -7.054483 0.34161    864 0.55398 0.10289 -0.82615
  26  850  736 129.059208633805 41.311204932925 -10.171669 0.25203    813 0.55391 0.10289 -0.82619
  27  874  730 129.060875300485 41.311621599595 -9.340578 0.28361    197 0.55410 0.10291 -0.82606
  28  890  730 129.061986411605 41.311621599595 -11.433651 0.31963    170 0.55421 0.10292 -0.82599
  29  882  710 129.061430856045 41.313010488495 -7.545409 0.37813    864 0.55421 0.10292 -0.82599
  30  866  669 129.060319744925 41.315857710740 -5.201756 0.28614   3456 0.55414 0.10291 -0.82604
  31  778  756 129.054208633765 41.309816044025 -5.131924 0.23703    222 0.55340 0.10283 -0.82654
  32  778  770 129.054208633765 41.308843821795 -5.387531 0.15565    208 0.55340 0.10283 -0.82654
  33  794  770 129.055319744885 41.308843821795 -8.334403 0.43879    189 0.55349 0.10284 -0.82649
  34  798  760 129.055597522665 41.309538266245 -10.241459 0.15446     52 0.55351 0.10284 -0.82647
  35  798  753 129.055597522665 41.310024377360 -10.277845 0.15935     56 0.55351 0.10284 -0.82647
  36  786  789 129.054764189325 41.307524377340 -5.702581 0.41599    832 0.55344 0.10283 -0.82652
  37  804  785 129.056014189335 41.307802155120 -8.371806 0.10356     12 0.55354 0.10284 -0.82645
  38  804  788 129.056014189335 41.307593821785 -8.030153 0.21733     12 0.55354 0.10284 -0.82645
  39  808  788 129.056291967115 41.307593821785 -9.973379 0.09342     12 0.55357 0.10285 -0.82643
